                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0147,                  4.081,                 1.5699,                0.86171,                 6.6334,                 1.5197,                0.00395,                0.63852,                 0.0635,                 0.0498,                0.86822,                 4.7028,                 1.6434,                0.79253,                 11.669,                 1.6814,             0.00012059,             0.00012059,             0.00012059
                      2,                0.95178,                 3.5915,                 1.4789,                0.79113,                 5.9467,                 1.4038,                0.93101,                0.03469,                0.11968,                0.09394,                 1.1923,                 4.1141,                 1.9215,                0.94711,                 10.814,                 1.7294,             0.00023427,             0.00023427,             0.00023427
                      3,                 0.9868,                 3.1007,                 1.4929,                0.84124,                 5.4539,                 1.3984,                0.77931,                0.11269,                0.21827,                0.14297,                 1.1858,                 3.7121,                 1.9803,                0.93388,                  9.923,                  1.814,             0.00033817,             0.00033817,             0.00033817
                      4,                 1.0696,                 2.7333,                 1.5477,                0.92752,                 5.0561,                 1.4506,                0.70462,                0.18667,                0.22746,                0.15968,                 1.1997,                 3.2525,                 1.9684,                 1.0757,                 8.6238,                 1.8291,             0.00032604,             0.00032604,             0.00032604
                      5,                 1.0273,                 2.4044,                 1.5017,                0.91997,                  4.505,                  1.425,                0.39509,                0.29481,                0.34592,                0.24366,                 1.1528,                 2.7603,                 1.9005,                 1.0706,                 7.6311,                 1.8231,             0.00032604,             0.00032604,             0.00032604
                      6,                 1.0253,                 2.1718,                 1.4837,                  0.936,                 4.1266,                 1.4224,                0.50894,                0.41244,                0.38119,                0.27417,                 1.1623,                  2.629,                 1.8136,                  1.062,                 6.9682,                 1.7448,             0.00031139,             0.00031139,             0.00031139
                      7,                 1.0021,                 1.9825,                 1.4594,                 0.9338,                 3.7261,                 1.4124,                0.53223,                0.41522,                 0.4574,                0.32283,                 1.1389,                 2.2593,                 1.8306,                 1.1298,                 6.3164,                 1.8219,             0.00029674,             0.00029674,             0.00029674
                      8,                0.94966,                 1.8553,                 1.4235,                0.90823,                 3.4116,                 1.3876,                 0.5708,                0.46904,                0.51064,                0.37683,                 1.0165,                 2.0909,                 1.6823,                 1.0011,                 5.4744,                 1.6747,             0.00028209,             0.00028209,             0.00028209
                      9,                 0.9722,                 1.7915,                 1.4412,                  0.932,                 3.2358,                 1.4057,                0.55785,                0.59175,                0.62814,                0.46225,                 1.0413,                 1.8606,                 1.7174,                 1.0839,                 5.0097,                 1.7683,             0.00026744,             0.00026744,             0.00026744
                     10,                0.90579,                 1.6246,                  1.387,                0.88149,                  2.973,                 1.3645,                0.56539,                0.50735,                0.55031,                0.40347,                  1.046,                  1.931,                 1.7524,                 1.0286,                 4.7591,                 1.7014,             0.00025278,             0.00025278,             0.00025278
